iso3_econ,año,pct_desempleo,pbi_pc_ppa,inflacion,gini,hdi
BWA,2000,15.88,9380.37607253972,8.60148514851491,,0.594
BWA,2005,19.852,11458.2270967968,8.6102252854644,,0.616
BWA,2010,17.86,12753.3066340117,6.94887658743103,,0.652
BWA,2015,18.915,14143.6940733728,3.06203169580558,54.9,0.69
BWA,2020,21.017,15292.2624673252,1.8903591682421,,0.718
BWA,2024,23.81,20538.1320178889,2.81835131676251,,
CAF,1990,,620.391176505202,-0.0123304562272102,,0.342
CAF,1995,5.871,630.691681389742,19.1894039735098,,0.326
CAF,2000,5.722,639.836997022267,3.20340091563112,,0.333
CAF,2005,5.691,702.460624591232,2.88352073359022,,0.346
CAF,2010,5.658,936.485497371468,1.49102370047802,,0.358
CAF,2015,5.775,768.870887999174,1.40297017136816,,0.377
CAF,2020,6.519,1066.29005423151,1.71015659523153,,0.386
CAF,2024,6.253,1263.10234213699,1.47733600718744,,
CAN,1990,,20225.9601080799,4.78047693336304,31.4,0.865
CAN,1995,9.489,23474.2003753947,2.14876033057849,31.5,0.881
CAN,2000,6.829,29347.7879802126,2.71943995691976,33.4,0.894
CAN,2005,6.758,36328.378994377,2.21355203439767,33.6,0.909
CAN,2010,8.178,40103.1114399673,1.77687154092627,33.6,0.918
CAN,2015,6.945,44668.0912814303,1.12524136094277,33.7,0.932
CAN,2020,9.657,48590.6832121939,0.716999632307827,29.9,0.931
CAN,2024,6.351,64610.3795171971,2.38158383281173,,
CHE,1990,,28461.2377658811,5.4039590921894,,0.858
CHE,1995,3.094,30841.7771374956,1.79982776867144,,0.872
CHE,2000,2.658,36703.066164663,1.5585291967901,33.4,0.892
CHE,2005,4.437,41524.8488732932,1.17195420333703,,0.909
CHE,2010,4.808,54426.2828092789,0.688238707220026,32.6,0.945
CHE,2015,4.801,65265.04573356,-1.14390867228183,32.3,0.957
CHE,2020,4.817,72997.8239503282,-0.725874933313384,33.7,0.963
CHE,2024,4.343,96497.6947971323,1.06234041976595,,
CHL,1990,,4444.4667266396,26.0364811362364,57.2,0.718
CHL,1995,4.7,7231.59000885119,8.23263034116114,,0.739
CHL,2000,10.491,9375.65991088758,3.84327295706565,52.8,0.771
CHL,2005,9.34,12550.4348007645,3.05257621387849,,0.804
CHL,2010,8.547,17917.8951217097,1.41071107954321,,0.823
CHL,2015,6.605,22468.3125745547,4.34877353217044,45.3,0.855
CHL,2020,10.934,25350.8635082972,3.04549084804326,47.0,0.856
CHL,2024,8.718,36181.156616977,4.29763891572524,,
CHN,1990,,990.776190880307,3.05229012075233,32.2,0.491
CHN,1995,3.0,1883.87603000345,16.7912251650916,,0.543
CHN,2000,3.26,2963.53238602023,0.347811226864587,,0.598
CHN,2005,4.52,5148.18273933805,1.77641407667571,40.9,0.654
CHN,2010,4.53,9411.13821903204,3.17532475269199,43.7,0.71
CHN,2015,4.65,13463.3331511105,1.43702380935655,38.6,0.75
CHN,2020,5.0,18267.4783455827,2.41942189457782,37.1,0.786
CHN,2024,4.59,27104.8702677463,0.218128938439177,,
CIV,1990,,2693.36146600562,-0.80587969827806,,0.389
CIV,1995,4.1,2683.32097628214,14.2950690851945,40.6,0.399
CIV,2000,4.835,3040.57593185363,2.53077516737997,,0.419
CIV,2005,6.023,2841.82308798173,3.88583039886482,,0.435
CIV,2010,6.607,3360.54408826055,1.2264561213548,,0.465
CIV,2015,2.573,4403.64296618998,1.25149954781468,41.5,0.519
CIV,2020,2.588,5543.85096318939,2.41252617189053,,0.553
CIV,2024,2.273,7669.23195715687,3.45053028131019,,
CMR,1990,,2031.90998845273,1.09938128383608,,0.448
CMR,1995,8.598,1790.33914983641,9.06969071921509,,0.433
CMR,2000,7.533,2108.49454959751,1.22719012976132,,0.439
CMR,2005,4.4,2597.68039893219,2.01353950175986,,0.472
CMR,2010,4.11,2913.94292755606,1.27538046242338,,0.529
CMR,2015,3.518,3497.66067563959,2.676235314199,,0.575
CMR,2020,3.881,4365.44704128392,2.43760882182236,,0.579
CMR,2024,3.603,5588.98645861945,4.53331349711606,,
COD,1990,,832.068152559652,81.295404814004,,0.388
COD,1995,3.285,532.179280362158,541.908883239027,,0.385
COD,2000,3.245,416.548214460226,513.906843747535,,0.391
COD,2005,2.948,483.910024827321,21.3168167229341,,0.408
COD,2010,4.098,605.785160280927,7.10000000000037,,0.44
COD,2015,4.441,910.393131638657,0.74419899478147,,0.477
COD,2020,5.355,1088.7890035637,,44.7,0.506
COD,2024,4.421,1821.04868718058,,,
COG,1990,,3436.74969805645,2.88905374216947,,0.573
COG,1995,20.226,3434.06784062762,9.41800743452228,,0.551
COG,2000,19.872,3667.42487266336,-0.881991517025431,,0.545
COG,2005,19.796,4278.92538741319,3.09449011456182,47.3,0.569
COG,2010,19.3,5125.06991343643,0.391525011227612,,0.609
COG,2015,20.02,4715.13431581624,3.16909796750829,,0.643
COG,2020,22.286,4770.96449758365,1.79537147083108,,0.643
COG,2024,19.895,7026.36223281494,3.09143630919166,,
COL,1990,,5109.42000116133,29.1520245976215,,0.623
COL,1995,8.72,6505.56526221287,20.8917930194849,,0.655
COL,2000,20.52,6775.93064418811,9.22534818585366,58.4,0.679
COL,2005,11.062,8432.33329078314,5.05101962689696,53.9,0.711
COL,2010,11.153,10841.1279801312,2.27200227892008,54.6,0.741
COL,2015,8.572,13332.0555048211,4.9898311584953,51.0,0.767
COL,2020,15.983,15519.2101694656,2.52663500084706,53.5,0.764
COL,2024,9.619,22349.436440123,6.60908593728228,,
COM,1990,,1546.45112696499,,,
COM,1995,4.675,1657.45525880536,,,
COM,2000,4.4,1740.64947132869,,,0.461
COM,2005,4.527,2162.0719557682,3.0133239505812,,0.499
COM,2010,4.19,2372.41233989712,3.35475770328919,,0.534
COM,2015,4.031,2949.47342240993,-0.11717388419007,,0.565
COM,2020,4.468,3244.8867496847,0.786641929499151,,0.592
COM,2024,3.815,3958.53228789687,5.05192609588218,,
CPV,1990,,1044.45752446208,10.6535057862491,,
CPV,1995,12.883,1762.15888398011,8.35152497972927,,
CPV,2000,13.024,3124.49488355024,-2.47745668519835,,0.585
CPV,2005,13.439,4324.20232454639,0.41889161285517,,0.616
CPV,2010,10.67,6038.58525655665,2.07866470906424,,0.648
CPV,2015,11.923,6773.48679969386,0.131187999024545,42.4,0.658
CPV,2020,14.65,6852.57669930355,0.605795808395385,,0.647
CPV,2024,11.883,11195.1205312923,1.04817001091965,,
CRI,1990,,5020.63594092737,19.0397526635649,45.2,0.677
CRI,1995,5.18,6515.33709490214,23.1864981102567,45.7,0.706
CRI,2000,5.08,7879.47794966682,10.9615496593622,47.4,0.72
CRI,2005,6.749,9898.92919347319,13.7982949108987,47.5,0.748
CRI,2010,7.171,12927.564593015,5.66275708420021,48.0,0.776
CRI,2015,8.415,17525.1404625145,0.801982005099623,48.4,0.803
CRI,2020,16.432,22099.8678127394,0.724911478131376,49.2,0.819
CRI,2024,6.936,31106.7643556729,-0.412853001047069,45.8,
CUB,1990,,,,,0.687
CUB,1995,8.27,,,,0.664
CUB,2000,5.45,,,,0.697
CUB,2005,1.95,,,,0.747
CUB,2010,2.5,,,,0.783
CUB,2015,2.4,,,,0.769
CUB,2020,2.233,,,,0.762
CUB,2024,1.755,,,,
CYP,1990,,13348.10546875,4.50205462895843,,0.749
CYP,1995,2.6,17095.912109375,2.61581787956337,,0.777
CYP,2000,4.766,21295.78515625,4.14165764702061,,0.808
CYP,2005,5.481,27763.158203125,2.56016132330234,30.3,0.844
CYP,2010,6.359,33502.1640625,2.43004084102254,31.5,0.869
CYP,2015,15.026,31380.19921875,-2.0969976905311,34.0,0.882
CYP,2020,7.755,42569.0546875,-0.638422797978959,31.7,0.905
CYP,2024,4.9,63006.61328125,1.80023018624815,,
CZE,1990,,12848.2484124716,,,0.753
CZE,1995,4.082,13957.2702636739,8.99052361478445,,0.781
CZE,2000,8.764,16332.2910408629,3.77538829151734,,0.817
CZE,2005,7.927,22114.8363085202,1.8570978910922,26.9,0.856
CZE,2010,7.281,28153.8518610007,1.47272727272722,26.6,0.88
CZE,2015,5.048,34093.0280593748,0.309364548494975,25.9,0.9
CZE,2020,2.55,44839.4822099455,3.16129528497801,26.2,0.898
