,AGO,BFA,BDI,BEN,BWA,COD,CAF,COG,CIV,CMR,CPV,DJI,DZA,EGY,ESH,ERI,ETH,GAB,GHA,GMB,GIN,GNQ,GNB,KEN,COM,LBR,LSO,LBY,MAR,MDG,MLI,MRT,MUS,MWI,MOZ,NAM,NER,NGA,RWA,SYC,SDN,SLE,SEN,SOM,SSD,STP,SWZ,TCD,TGO,TUN,TZA,UGA,ZAF,ZMB,ZWE
AGO,1.0,0.0,1.0,0.0,0.015384615384615385,1.0,0.15384615384615385,0.3730769230769231,0.0,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.7692307692307693,0.0,0.0,0.015384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,1.0,0.015384615384615385,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.38461538461538464,0.015384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.7692307692307693,1.0,0.015384615384615385,0.015384615384615385,0.015384615384615385
BFA,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6038461538461538,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.6038461538461538,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
BDI,1.0,0.0,1.0,0.0,0.015384615384615385,1.0,0.15384615384615385,0.3730769230769231,0.0,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.7692307692307693,0.0,0.0,0.015384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,1.0,0.015384615384615385,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.38461538461538464,0.015384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.7692307692307693,1.0,0.015384615384615385,0.015384615384615385,0.015384615384615385
BEN,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.015384615384615385,0.0,0.015384615384615385,0.0,1.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.015384615384615385,0.0,0.0,1.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.015384615384615385,1.0,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.015384615384615385,1.0,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,1.0,1.0,1.0
COD,1.0,0.0,1.0,0.0,0.015384615384615385,1.0,0.15384615384615385,0.3730769230769231,0.0,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.7692307692307693,0.0,0.0,0.015384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,1.0,0.015384615384615385,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.38461538461538464,0.015384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.7692307692307693,1.0,0.015384615384615385,0.015384615384615385,0.015384615384615385
CAF,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
COG,0.3730769230769231,0.23076923076923078,0.3730769230769231,0.23076923076923078,0.0,0.3730769230769231,0.0,1.0,0.23076923076923078,0.0,0.18076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.6269230769230769,0.23076923076923078,0.24615384615384617,0.18461538461538463,0.0,0.24615384615384617,0.3730769230769231,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.6269230769230769,0.24615384615384617,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.3730769230769231,0.0,0.0,0.18461538461538463,0.24615384615384617,0.0,0.0,0.18076923076923077,0.0,0.0,0.23076923076923078,0.0,0.3730769230769231,0.3730769230769231,0.0,0.0,0.0
CIV,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6038461538461538,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.6038461538461538,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
CPV,0.38461538461538464,0.0,0.38461538461538464,0.0,0.015384615384615385,0.38461538461538464,0.15384615384615385,0.18076923076923077,0.0,0.15384615384615385,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.026923076923076925,0.0,0.15,0.05384615384615385,0.15384615384615385,0.15,0.38461538461538464,0.0,0.05384615384615385,0.015384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.026923076923076925,0.15,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.38461538461538464,0.015384615384615385,0.15384615384615385,0.05384615384615385,0.15,0.15384615384615385,0.0,1.0,0.015384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.38461538461538464,0.38461538461538464,0.015384615384615385,0.015384615384615385,0.015384615384615385
DJI,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
DZA,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
EGY,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
ESH,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
ERI,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
ETH,0.15384615384615385,0.0,0.15384615384615385,0.0,0.015384615384615385,0.15384615384615385,1.0,0.0,0.0,1.0,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.0,0.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,0.0,1.0,0.0,0.15384615384615385,0.015384615384615385,1.0,0.0,1.0,0.15384615384615385,0.15384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
GAB,0.0,0.6038461538461538,0.0,0.23076923076923078,0.0,0.0,0.0,0.6269230769230769,0.6038461538461538,0.0,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23076923076923078,0.24615384615384617,0.18461538461538463,0.0,0.24615384615384617,0.0,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,1.0,0.24615384615384617,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.18461538461538463,0.24615384615384617,0.0,0.0,0.026923076923076925,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
GHA,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
