,AGO,BFA,BDI,BEN,BWA,COD,CAF,COG,CIV,CMR,CPV,DJI,DZA,EGY,ESH,ERI,ETH,GAB,GHA,GMB,GIN,GNQ,GNB,KEN,COM,LBR,LSO,LBY,MAR,MDG,MLI,MRT,MUS,MWI,MOZ,NAM,NER,NGA,RWA,SYC,SDN,SLE,SEN,SOM,SSD,STP,SWZ,TCD,TGO,TUN,TZA,UGA,ZAF,ZMB,ZWE
AGO,1.0,0.0,1.0,0.0,0.0,1.0,0.47307692307692306,0.6153846153846154,0.0,0.23076923076923078,0.4153846153846154,0.36153846153846153,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.36153846153846153,0.36153846153846153,0.0,0.0,0.0,0.0,0.4153846153846154,0.0,0.47307692307692306,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47307692307692306,0.0,0.0,0.36153846153846153,0.0,0.4153846153846154,0.0,0.23076923076923078,0.0,0.15384615384615385,0.47307692307692306,0.47307692307692306,0.0,0.0,0.0
BFA,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.16538461538461538,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.6153846153846154,0.16538461538461538,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.16538461538461538,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
BDI,1.0,0.0,1.0,0.0,0.0,1.0,0.47307692307692306,0.6153846153846154,0.0,0.23076923076923078,0.4153846153846154,0.36153846153846153,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.36153846153846153,0.36153846153846153,0.0,0.0,0.0,0.0,0.4153846153846154,0.0,0.47307692307692306,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47307692307692306,0.0,0.0,0.36153846153846153,0.0,0.4153846153846154,0.0,0.23076923076923078,0.0,0.15384615384615385,0.47307692307692306,0.47307692307692306,0.0,0.0,0.0
BEN,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.28076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.28076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
COD,1.0,0.0,1.0,0.0,0.0,1.0,0.47307692307692306,0.6153846153846154,0.0,0.23076923076923078,0.4153846153846154,0.36153846153846153,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.36153846153846153,0.36153846153846153,0.0,0.0,0.0,0.0,0.4153846153846154,0.0,0.47307692307692306,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47307692307692306,0.0,0.0,0.36153846153846153,0.0,0.4153846153846154,0.0,0.23076923076923078,0.0,0.15384615384615385,0.47307692307692306,0.47307692307692306,0.0,0.0,0.0
CAF,0.47307692307692306,0.0,0.47307692307692306,0.0,0.0,0.47307692307692306,1.0,0.47307692307692306,0.0,0.26153846153846155,0.3384615384615385,0.49615384615384617,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.49615384615384617,0.49615384615384617,0.0,0.0,0.0,0.0,0.3384615384615385,0.0,0.9230769230769231,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47307692307692306,0.0,1.0,0.0,0.0,0.49615384615384617,0.0,0.3384615384615385,0.0,0.26153846153846155,0.0,0.15384615384615385,0.9230769230769231,1.0,0.0,0.0,0.0
COG,0.6153846153846154,0.0,0.6153846153846154,0.0,0.0,0.6153846153846154,0.47307692307692306,1.0,0.0,0.23076923076923078,0.4153846153846154,0.36153846153846153,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.36153846153846153,0.36153846153846153,0.38461538461538464,0.0,0.0,0.0,0.4153846153846154,0.38461538461538464,0.47307692307692306,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.47307692307692306,0.0,0.38461538461538464,0.36153846153846153,0.0,0.4153846153846154,0.0,0.23076923076923078,0.0,0.15384615384615385,0.47307692307692306,0.47307692307692306,0.0,0.0,0.0
CIV,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.16538461538461538,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.6153846153846154,0.16538461538461538,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.16538461538461538,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.23076923076923078,0.0,0.23076923076923078,0.28076923076923077,0.0,0.23076923076923078,0.26153846153846155,0.23076923076923078,0.0,1.0,0.23076923076923078,0.23076923076923078,0.1576923076923077,0.1576923076923077,0.1576923076923077,0.23076923076923078,0.23076923076923078,0.0,0.28076923076923077,0.0,0.0,0.23076923076923078,0.0,0.26153846153846155,0.0,0.0,0.0,0.1576923076923077,0.1576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28076923076923077,0.28076923076923077,0.23076923076923078,0.0,0.26153846153846155,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,1.0,0.28076923076923077,0.1576923076923077,0.26153846153846155,0.26153846153846155,0.0,0.0,0.0
