,año,semilla,resolucion,modularidad,num_comunidades
0,1990,2,0.2,0.8649715620256098,8
1,1990,2,0.3,0.8227212153102791,10
2,1990,2,0.5,0.7499985440878593,11
3,1990,2,0.7,0.6896463692700696,12
4,1990,2,1.0,0.6289058334688779,13
5,1990,2,1.3,0.587308861487772,16
6,1990,2,1.5,0.5639399364579233,18
7,1990,2,1.7,0.5455300657093406,19
8,1990,2,2.0,0.51514467855477,20
9,1990,2,2.3,0.4871102780249699,21
10,1990,2,2.5,0.46285286751895327,22
11,1990,2,2.7,0.44997038118766325,24
12,1990,2,3.0,0.4402158843635381,26
13,1990,3,0.2,0.8649715620256104,8
14,1990,3,0.3,0.822721215310279,10
15,1990,3,0.5,0.7498662326725324,11
16,1990,3,0.7,0.6831125578633307,12
17,1990,3,1.0,0.622874386856953,15
18,1990,3,1.3,0.5821766809372656,15
19,1990,3,1.5,0.5598714667312987,17
20,1990,3,1.7,0.5335281735493741,17
21,1990,3,2.0,0.5031643025086275,21
22,1990,3,2.3,0.48803295306289335,23
23,1990,3,2.5,0.4739918739114143,24
24,1990,3,2.7,0.4600865547240861,24
25,1990,3,3.0,0.4401799520077954,25
26,1990,5,0.2,0.86497156202561,8
27,1990,5,0.3,0.822721215310279,10
28,1990,5,0.5,0.7498662326725324,11
29,1990,5,0.7,0.6879042140804532,14
30,1990,5,1.0,0.6180718498339973,13
31,1990,5,1.3,0.5777901909885372,16
32,1990,5,1.5,0.553000325966692,18
33,1990,5,1.7,0.5277348556167504,21
34,1990,5,2.0,0.5014808715466119,23
35,1990,5,2.3,0.4822400034198927,24
36,1990,5,2.5,0.4679659132371362,24
37,1990,5,2.7,0.45886924196717344,25
38,1990,5,3.0,0.43874599283846527,26
39,1990,7,0.2,0.865528501963343,9
40,1990,7,0.3,0.8227560474581087,9
41,1990,7,0.5,0.7499985440878594,11
42,1990,7,0.7,0.6896463692700697,12
43,1990,7,1.0,0.6245213529953956,14
44,1990,7,1.3,0.5853073708124713,16
45,1990,7,1.5,0.5616085177138724,17
46,1990,7,1.7,0.5446884540166854,18
47,1990,7,2.0,0.5203536315902333,20
48,1990,7,2.3,0.4905211833187592,22
49,1990,7,2.5,0.4751456247337534,22
50,1990,7,2.7,0.4604239434876343,25
51,1990,7,3.0,0.4401799520077954,25
52,1990,11,0.2,0.8649715620256099,8
53,1990,11,0.3,0.822721215310279,10
54,1990,11,0.5,0.7499985440878594,11
55,1990,11,0.7,0.6887224556987448,13
56,1990,11,1.0,0.6170065269260994,14
57,1990,11,1.3,0.5806549627543652,17
58,1990,11,1.5,0.5617249428964537,18
59,1990,11,1.7,0.542487171774823,19
60,1990,11,2.0,0.5136309773013138,20
61,1990,11,2.3,0.48653117868291745,23
62,1990,11,2.5,0.47399187391141423,24
63,1990,11,2.7,0.46042394348763427,25
64,1990,11,3.0,0.44017995200779547,25
65,1990,13,0.2,0.8647998773558047,7
66,1990,13,0.3,0.8227560474581088,9
67,1990,13,0.5,0.7499985440878594,11
68,1990,13,0.7,0.6879042140804533,14
69,1990,13,1.0,0.6325885009799006,15
70,1990,13,1.3,0.5903335910551588,17
71,1990,13,1.5,0.5572944752322683,17
72,1990,13,1.7,0.5404278289079145,19
73,1990,13,2.0,0.5150335148052576,21
74,1990,13,2.3,0.49381120593522854,22
75,1990,13,2.5,0.4784537655607406,21
76,1990,13,2.7,0.463031528512404,22
77,1990,13,3.0,0.4367670883191904,26
78,1990,17,0.2,0.8649715620256099,8
79,1990,17,0.3,0.8227212153102791,10
80,1990,17,0.5,0.7499985440878594,11
81,1990,17,0.7,0.6679610779519974,15
82,1990,17,1.0,0.6176175402369946,14
83,1990,17,1.3,0.5782583007545554,16
84,1990,17,1.5,0.5560807346916289,18
85,1990,17,1.7,0.5438558518374624,21
86,1990,17,2.0,0.5093549621061743,20
87,1990,17,2.3,0.48730020281620434,21
88,1990,17,2.5,0.4725907928255877,24
89,1990,17,2.7,0.46008655472408594,24
90,1990,17,3.0,0.44021588436353815,26
91,1990,19,0.2,0.8649715620256104,8
92,1990,19,0.3,0.8227560474581087,9
93,1990,19,0.5,0.7477808172827413,11
94,1990,19,0.7,0.6880238552095982,13
95,1990,19,1.0,0.6238416726288218,15
96,1990,19,1.3,0.5779813371791696,17
97,1990,19,1.5,0.5563123831419937,19
98,1990,19,1.7,0.5457333093718695,18
99,1990,19,2.0,0.5187016572771622,21
100,1990,19,2.3,0.49035511039262547,22
101,1990,19,2.5,0.47548608395189096,23
102,1990,19,2.7,0.4610925428703113,24
103,1990,19,3.0,0.43964606775951565,25
104,1990,23,0.2,0.8649715620256104,8
105,1990,23,0.3,0.8227212153102791,10
106,1990,23,0.5,0.7496616699456313,12
107,1990,23,0.7,0.6811654784450312,15
108,1990,23,1.0,0.6250495074318108,14
109,1990,23,1.3,0.580618549198467,17
110,1990,23,1.5,0.5595430798753108,18
111,1990,23,1.7,0.5322707035960003,20
112,1990,23,2.0,0.5062693999044252,22
113,1990,23,2.3,0.47781702565807377,23
114,1990,23,2.5,0.4722459362458634,23
115,1990,23,2.7,0.46075515410676315,23
116,1990,23,3.0,0.4371045712762012,26
117,1990,29,0.2,0.8655285019633431,9
118,1990,29,0.3,0.822721215310279,10
119,1990,29,0.5,0.7496616699456315,12
120,1990,29,0.7,0.6907703947733033,14
121,1990,29,1.0,0.6194443479709117,15
122,1990,29,1.3,0.5737073410395152,17
123,1990,29,1.5,0.5552978111311236,19
124,1990,29,1.7,0.5418765429350115,19
125,1990,29,2.0,0.5127888731547171,20
126,1990,29,2.3,0.4794680704218214,23
127,1990,29,2.5,0.47613572594580406,23
128,1990,29,2.7,0.4604239434876344,25
129,1990,29,3.0,0.44021588436353815,26
130,1990,31,0.2,0.8649715620256099,8
131,1990,31,0.3,0.822721215310279,10
132,1990,31,0.5,0.7499796494746308,12
133,1990,31,0.7,0.6814380161083234,13
134,1990,31,1.0,0.6210883199034168,13
135,1990,31,1.3,0.5750496185955686,17
136,1990,31,1.5,0.5534337782120621,18
