,AGO,BFA,BDI,BEN,BWA,COD,CAF,COG,CIV,CMR,CPV,DJI,DZA,EGY,ESH,ERI,ETH,GAB,GHA,GMB,GIN,GNQ,GNB,KEN,COM,LBR,LSO,LBY,MAR,MDG,MLI,MRT,MUS,MWI,MOZ,NAM,NER,NGA,RWA,SYC,SDN,SLE,SEN,SOM,SSD,STP,SWZ,TCD,TGO,TUN,TZA,UGA,ZAF,ZMB,ZWE
AGO,1.0,0.0,1.0,0.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.5923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.7615384615384615,0.007692307692307693,0.0,0.07692307692307693,0.0,0.0,0.007692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.5923076923076923,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.7615384615384615,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
BFA,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.011538461538461539,0.5384615384615384,1.0,0.011538461538461539,0.0,0.0,0.011538461538461539,0.011538461538461539,0.3076923076923077,0.0,0.0,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.011538461538461539,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.011538461538461539,0.011538461538461539,0.0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.011538461538461539,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.011538461538461539,0.23076923076923078,0.011538461538461539,0.0,0.0,0.0,0.0,0.0
BDI,1.0,0.0,1.0,0.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.5923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.7615384615384615,0.007692307692307693,0.0,0.07692307692307693,0.0,0.0,0.007692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.5923076923076923,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.7615384615384615,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
BEN,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.011538461538461539,0.23076923076923078,0.23076923076923078,0.011538461538461539,0.0,0.0,0.011538461538461539,0.011538461538461539,0.23076923076923078,0.0,0.0,0.23076923076923078,1.0,0.23076923076923078,0.23076923076923078,0.011538461538461539,0.23076923076923078,0.0,0.0,0.23076923076923078,0.0,0.011538461538461539,0.011538461538461539,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011538461538461539,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.011538461538461539,1.0,0.011538461538461539,0.0,0.0,0.0,0.0,0.0
BWA,0.07692307692307693,0.0,0.07692307692307693,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0,1.0,1.0
COD,1.0,0.0,1.0,0.0,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.5923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.7615384615384615,0.007692307692307693,0.0,0.07692307692307693,0.0,0.0,0.007692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.5923076923076923,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.7615384615384615,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
CAF,0.0,0.011538461538461539,0.0,0.011538461538461539,0.0,0.0,1.0,0.026923076923076925,0.011538461538461539,1.0,0.0,0.05384615384615385,1.0,1.0,0.011538461538461539,0.007692307692307693,0.05384615384615385,0.026923076923076925,0.011538461538461539,0.011538461538461539,0.011538461538461539,1.0,0.011538461538461539,0.0,0.0,0.011538461538461539,0.0,1.0,1.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.0,0.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.0,1.0,0.011538461538461539,0.011538461538461539,0.05384615384615385,0.007692307692307693,0.0,0.0,1.0,0.011538461538461539,1.0,0.0,0.0,0.0,0.0,0.0
COG,0.0,0.5384615384615384,0.0,0.23076923076923078,0.0,0.0,0.026923076923076925,1.0,0.5384615384615384,0.026923076923076925,0.19230769230769232,0.0,0.026923076923076925,0.026923076923076925,0.5384615384615384,0.0,0.0,1.0,0.23076923076923078,0.5384615384615384,0.4,0.026923076923076925,0.5384615384615384,0.0,0.0,0.4,0.0,0.026923076923076925,0.026923076923076925,0.0,0.8461538461538461,0.5384615384615384,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.026923076923076925,0.4,0.5384615384615384,0.0,0.0,0.19230769230769232,0.0,0.026923076923076925,0.23076923076923078,0.026923076923076925,0.0,0.0,0.0,0.0,0.0
CIV,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.011538461538461539,0.5384615384615384,1.0,0.011538461538461539,0.0,0.0,0.011538461538461539,0.011538461538461539,0.3076923076923077,0.0,0.0,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.011538461538461539,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.011538461538461539,0.011538461538461539,0.0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.011538461538461539,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.011538461538461539,0.23076923076923078,0.011538461538461539,0.0,0.0,0.0,0.0,0.0
CMR,0.0,0.011538461538461539,0.0,0.011538461538461539,0.0,0.0,1.0,0.026923076923076925,0.011538461538461539,1.0,0.0,0.05384615384615385,1.0,1.0,0.011538461538461539,0.007692307692307693,0.05384615384615385,0.026923076923076925,0.011538461538461539,0.011538461538461539,0.011538461538461539,1.0,0.011538461538461539,0.0,0.0,0.011538461538461539,0.0,1.0,1.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.0,0.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.0,1.0,0.011538461538461539,0.011538461538461539,0.05384615384615385,0.007692307692307693,0.0,0.0,1.0,0.011538461538461539,1.0,0.0,0.0,0.0,0.0,0.0
CPV,0.3076923076923077,0.0,0.3076923076923077,0.0,0.07692307692307693,0.3076923076923077,0.0,0.19230769230769232,0.0,0.0,1.0,0.3076923076923077,0.0,0.0,0.36923076923076925,0.3076923076923077,0.3076923076923077,0.19230769230769232,0.0,0.36923076923076925,0.25384615384615383,0.0,0.36923076923076925,0.3076923076923077,0.007692307692307693,0.25384615384615383,0.07692307692307693,0.0,0.0,0.007692307692307693,0.05384615384615385,0.36923076923076925,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.25384615384615383,0.36923076923076925,0.3076923076923077,0.3076923076923077,1.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693
DJI,0.3076923076923077,0.0,0.3076923076923077,0.0,0.07692307692307693,0.3076923076923077,0.05384615384615385,0.0,0.0,0.05384615384615385,0.3076923076923077,1.0,0.05384615384615385,0.05384615384615385,0.0,0.7153846153846154,1.0,0.0,0.0,0.0,0.0,0.05384615384615385,0.0,0.5461538461538461,0.007692307692307693,0.0,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.007692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.3076923076923077,0.07692307692307693,0.05384615384615385,0.0,0.0,1.0,0.7153846153846154,0.3076923076923077,0.07692307692307693,0.05384615384615385,0.0,0.05384615384615385,0.5461538461538461,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693
DZA,0.0,0.011538461538461539,0.0,0.011538461538461539,0.0,0.0,1.0,0.026923076923076925,0.011538461538461539,1.0,0.0,0.05384615384615385,1.0,1.0,0.011538461538461539,0.007692307692307693,0.05384615384615385,0.026923076923076925,0.011538461538461539,0.011538461538461539,0.011538461538461539,1.0,0.011538461538461539,0.0,0.0,0.011538461538461539,0.0,1.0,1.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.0,0.0,0.0,0.011538461538461539,0.011538461538461539,0.0,0.0,1.0,0.011538461538461539,0.011538461538461539,0.05384615384615385,0.007692307692307693,0.0,0.0,1.0,0.011538461538461539,1.0,0.0,0.0,0.0,0.0,0.0
