,AGO,BFA,BDI,BEN,BWA,COD,CAF,COG,CIV,CMR,CPV,DJI,DZA,EGY,ESH,ERI,ETH,GAB,GHA,GMB,GIN,GNQ,GNB,KEN,COM,LBR,LSO,LBY,MAR,MDG,MLI,MRT,MUS,MWI,MOZ,NAM,NER,NGA,RWA,SYC,SDN,SLE,SEN,SOM,SSD,STP,SWZ,TCD,TGO,TUN,TZA,UGA,ZAF,ZMB,ZWE
AGO,1.0,0.0,1.0,0.0,0.007692307692307693,1.0,0.25384615384615383,0.0,0.0,0.0,0.16923076923076924,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.28846153846153844,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.4346153846153846,0.0,0.0,0.007692307692307693,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,1.0,0.007692307692307693,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.16923076923076924,0.007692307692307693,0.23076923076923078,0.0,0.23076923076923078,0.5230769230769231,0.28846153846153844,0.007692307692307693,0.007692307692307693,0.007692307692307693
BFA,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.6384615384615384,1.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.7192307692307692,0.23076923076923078,0.6153846153846154,0.7461538461538462,0.23076923076923078,0.6153846153846154,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.7846153846153846,0.6153846153846154,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.6153846153846154,0.6153846153846154,0.0,0.0,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
BDI,1.0,0.0,1.0,0.0,0.007692307692307693,1.0,0.25384615384615383,0.0,0.0,0.0,0.16923076923076924,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.28846153846153844,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.4346153846153846,0.0,0.0,0.007692307692307693,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,1.0,0.007692307692307693,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.16923076923076924,0.007692307692307693,0.23076923076923078,0.0,0.23076923076923078,0.5230769230769231,0.28846153846153844,0.007692307692307693,0.007692307692307693,0.007692307692307693
BEN,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.9769230769230769,0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,1.0,0.23076923076923078,0.23076923076923078,0.9769230769230769,0.23076923076923078,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.007692307692307693,0.0,0.007692307692307693,0.0,1.0,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0038461538461538464,0.007692307692307693,0.015384615384615385,0.007692307692307693,0.0,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.1576923076923077,0.0,0.0,1.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.007692307692307693,1.0,0.007692307692307693,0.0,0.0,0.007692307692307693,0.007692307692307693,0.0038461538461538464,1.0,0.007692307692307693,0.0,0.015384615384615385,0.1576923076923077,0.007692307692307693,1.0,1.0,1.0
COD,1.0,0.0,1.0,0.0,0.007692307692307693,1.0,0.25384615384615383,0.0,0.0,0.0,0.16923076923076924,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.28846153846153844,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.4346153846153846,0.0,0.0,0.007692307692307693,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,1.0,0.007692307692307693,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078,0.16923076923076924,0.007692307692307693,0.23076923076923078,0.0,0.23076923076923078,0.5230769230769231,0.28846153846153844,0.007692307692307693,0.007692307692307693,0.007692307692307693
CAF,0.25384615384615383,0.0,0.25384615384615383,0.0,0.007692307692307693,0.25384615384615383,1.0,0.0,0.0,0.023076923076923078,0.0,0.7730769230769231,0.33076923076923076,0.8346153846153846,0.0,0.6346153846153846,0.7730769230769231,0.0,0.0,0.0,0.0,0.023076923076923078,0.0,0.3192307692307692,0.0,0.0,0.007692307692307693,0.33076923076923076,0.33076923076923076,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,0.25384615384615383,0.007692307692307693,0.8346153846153846,0.0,0.0,0.7730769230769231,0.8346153846153846,0.0,0.007692307692307693,0.8576923076923076,0.0,0.33076923076923076,0.23076923076923078,0.6346153846153846,0.007692307692307693,0.007692307692307693,0.007692307692307693
COG,0.0,0.6384615384615384,0.0,0.23076923076923078,0.0,0.0,0.0,1.0,0.6384615384615384,0.23076923076923078,0.21153846153846154,0.0,0.015384615384615385,0.0,0.8461538461538461,0.0,0.0,0.9192307692307692,0.23076923076923078,0.8461538461538461,0.8576923076923076,0.23076923076923078,0.8461538461538461,0.0,0.0,0.7576923076923077,0.0,0.015384615384615385,0.015384615384615385,0.0,0.8538461538461538,0.8461538461538461,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.7576923076923077,0.8461538461538461,0.0,0.0,0.21153846153846154,0.0,0.0,0.23076923076923078,0.015384615384615385,0.0,0.0,0.0,0.0,0.0
CIV,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.6384615384615384,1.0,0.23076923076923078,0.15384615384615385,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.7192307692307692,0.23076923076923078,0.6153846153846154,0.7461538461538462,0.23076923076923078,0.6153846153846154,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.7846153846153846,0.6153846153846154,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.6153846153846154,0.6153846153846154,0.0,0.0,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.0,0.23076923076923078,0.0,0.9769230769230769,0.0,0.0,0.023076923076923078,0.23076923076923078,0.23076923076923078,1.0,0.15384615384615385,0.0,0.0038461538461538464,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.9769230769230769,0.23076923076923078,0.23076923076923078,1.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,0.9769230769230769,0.9769230769230769,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.023076923076923078,0.9769230769230769,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0
